AGE;FPLACE;POOL;PRICE;SQFT;UTOWN
6;1;0;205,452;23,46;0
5;1;0;185,328;20,03;0
6;0;0;248,422;27,77;0
1;0;0;154,69;20,17;0
0;1;0;221,801;26,45;0
6;1;0;199,119;21,56;0
9;1;0;272,134;29,91;0
0;1;0;250,631;27,98;0
0;0;1;197,24;24,8;0
0;0;0;235,755;27,5;0
14;0;0;189,639;20,82;0
12;1;0;227,008;23,38;0
10;0;0;248,256;29,82;0
1;0;1;171,885;20,06;0
2;0;0;163,764;20,6;0
2;0;0;261,254;29,1;0
17;0;0;239,828;29,54;0
26;0;0;201,591;23,11;0
7;1;0;225,566;27,03;0
2;1;0;227,178;25,7;0
5;1;0;232,894;27,61;0
1;1;0;254,58;29,53;0
9;0;0;229,38;25,13;0
2;0;1;193,207;23,4;0
4;1;0;222,179;25,45;0
1;0;0;226,322;27,27;0
9;1;1;213,106;22,81;0
5;0;0;249,03;27,93;0
5;0;0;232,088;26,6;0
5;0;0;229,523;28,05;0
16;1;0;201,72;23,74;0
22;1;0;216,753;25,72;0
14;0;0;212,301;26,16;0
3;0;0;222,973;25,94;0
2;1;1;205,362;23,2;0
35;1;0;247,932;28,35;0
2;1;0;211,983;24,42;0
17;0;0;134,316;20,47;0
5;0;0;200,07;21,27;0
2;0;0;215,343;27,16;0
9;1;1;228,697;28,06;0
3;0;0;229,896;25,76;0
3;1;1;189,653;22,57;0
30;1;1;210,361;26,96;0
10;0;0;261,532;27,58;0
7;0;0;244,085;26,32;0
10;0;1;224,161;24,95;0
19;1;0;254,577;29,27;0
1;0;0;201,623;21,69;0
28;1;0;258,442;29,74;0
0;1;0;211,424;25,48;0
7;0;0;230,352;29,34;0
11;0;1;235,324;26,96;0
4;1;0;249,912;29,86;0
14;1;0;158,163;21;0
4;1;0;244,091;28,76;0
6;0;0;214,982;22,5;0
12;1;0;207,261;24,7;0
21;0;0;189,663;23,96;0
36;1;0;212,396;22,57;0
8;0;0;215,85;25,5;0
7;0;0;233,102;27,23;0
11;0;0;147,62;20,47;0
3;1;0;246,053;29,16;0
2;0;0;204,246;27,01;0
17;1;0;188,848;20,16;0
0;1;0;199,906;21,91;0
8;1;0;268,209;28,9;0
30;0;0;262,5;29,3;0
15;0;0;190,134;22,46;0
6;0;1;214,761;25,82;0
