"gpa" "iq" "alter" "sex" "total" "c1" "c2" "c3" "c4" "c5" "c6"
"1" 7.94 111 13 2 67 15 17 13 13 11 9
"2" 8.292 107 12 2 43 12 12 7 7 6 6
"3" 4.643 100 13 2 52 11 10 5 8 9 7
"4" 7.47 107 12 2 66 14 15 11 11 9 9
"5" 8.882 114 12 1 58 14 15 10 12 11 6
"6" 7.585 115 12 2 51 14 11 7 8 6 9
"7" 7.65 111 13 2 71 15 17 12 14 11 10
"8" 2.412 97 13 2 51 10 12 5 11 5 6
"9" 6 100 13 1 49 12 9 6 9 6 7
"10" 8.833 112 13 2 51 15 16 4 9 5 8
"11" 7.47 104 12 1 35 12 5 3 2 4 7
"12" 5.528 89 13 1 54 16 8 3 11 7 7
"13" 7.167 104 13 2 54 16 14 6 7 2 7
"14" 7.571 102 13 1 64 14 12 8 10 12 9
"15" 4.7 91 14 1 56 14 13 8 10 7 8
"16" 8.167 114 13 1 69 15 15 9 12 11 9
"17" 7.822 114 13 1 55 14 11 6 11 11 9
"18" 7.598 103 12 1 65 16 16 5 12 11 9
"19" 4 106 13 2 40 8 5 6 5 4 8
"20" 6.231 105 12 1 66 15 15 11 10 10 10
"21" 7.643 113 12 2 55 13 12 6 9 7 8
"22" 1.76 109 12 2 20 5 2 2 4 2 1
"23" 6.419 108 14 1 56 10 13 11 8 10 10
"24" 9.648 113 13 2 68 13 14 13 13 11 9
"25" 10.7 130 12 1 69 15 17 13 11 11 10
"26" 10.58 128 13 2 70 15 16 11 11 11 10
"27" 9.429 128 12 2 80 16 17 13 14 11 10
"28" 8 118 13 2 53 5 13 9 12 7 9
"29" 9.585 113 13 2 65 15 14 9 12 10 10
"30" 9.571 120 13 1 67 14 15 11 12 11 9
"31" 8.998 132 12 1 62 16 13 9 6 9 8
"32" 8.333 111 12 1 39 12 11 2 3 5 4
"33" 8.175 124 13 2 71 14 17 11 13 10 10
"34" 8 127 12 2 59 13 14 6 13 8 8
"35" 9.333 128 12 1 60 14 13 7 7 5 7
"36" 9.5 136 13 2 64 11 17 12 12 10 8
"37" 9.167 106 13 2 71 14 16 12 14 11 10
"38" 10.14 118 13 1 72 16 15 12 13 11 10
"39" 9.999 119 12 1 54 11 13 10 8 9 6
"40" 10.76 123 12 2 64 14 16 8 9 10 8
"41" 9.763 124 13 2 58 14 7 5 11 7 9
"42" 9.41 126 12 2 70 13 16 11 13 9 10
"43" 9.167 116 12 2 72 15 16 13 14 10 9
"44" 9.348 127 12 2 70 15 17 12 13 9 10
"45" 8.167 119 12 2 47 13 10 5 6 7 7
"46" 3.647 97 13 2 52 12 10 7 13 8 8
"47" 3.408 86 13 1 46 11 10 5 7 3 7
"48" 3.936 102 12 2 66 15 11 10 13 9 10
"49" 7.167 110 12 2 67 16 17 11 8 8 9
"50" 7.647 120 12 2 63 13 13 13 10 9 10
"51" 0.53 103 15 2 53 13 10 7 10 5 8
"52" 6.173 115 13 2 67 15 16 8 12 10 10
"53" 7.295 93 13 2 61 11 14 13 12 11 10
"54" 7.295 72 13 1 54 15 8 9 11 12 9
"55" 8.938 111 13 1 60 13 16 11 10 6 9
"56" 7.882 103 13 1 60 16 14 7 9 7 9
"57" 8.353 123 13 2 63 13 17 11 12 9 10
"58" 5.062 79 12 2 30 6 7 2 8 5 5
"59" 8.175 119 13 2 54 9 13 13 7 10 8
"60" 8.235 110 13 2 66 13 14 11 12 8 10
"61" 7.588 110 13 2 44 10 11 7 6 4 4
"62" 7.647 107 13 2 49 13 8 4 12 3 8
"63" 5.237 74 13 1 44 15 8 5 8 3 6
"64" 7.825 105 13 2 67 16 11 12 10 9 10
"65" 7.333 112 13 1 64 16 16 7 11 11 8
"66" 9.167 105 13 2 73 13 15 13 14 11 10
"67" 7.996 110 13 2 59 15 15 4 9 5 7
"68" 8.714 107 13 1 37 12 11 6 5 6 6
"69" 7.833 103 12 1 63 16 15 6 11 8 8
"70" 4.885 77 14 2 36 12 8 2 5 3 2
"71" 7.998 98 13 1 64 15 15 11 11 11 10
"72" 3.82 90 14 2 42 4 2 6 11 10 8
"73" 5.936 96 13 1 28 7 4 2 3 1 3
"74" 9 112 13 1 60 16 13 11 6 9 7
"75" 9.5 112 12 1 70 15 17 10 12 10 9
"76" 6.057 114 13 2 51 10 12 3 9 8 7
"77" 6.057 93 14 1 21 7 3 1 5 2 4
"78" 6.938 106 13 2 56 15 12 7 9 6 9
